Cache Size (KB),Block Size,Associativty,Replacement Policy,Total Blocks,Tag Size (bits),Index Size (bits),Total Rows,Overhead Size,Implementation Size,Cost ($),Total Accesses,Total Hits,Total Misses,Compulsory Misses,Conflict Misses,Hit Rate,Miss Rate,CPI,Unused Space,Unused Blocks,Waste ($),Filename
8,4,2,Round Robin,2048,20,10,1024,5376,13,0.93,475872,416645,59227,2048,57179,87.55%,12.45%,4.64,0.00%,0,0,A-10_new_1.5_a.pdf.trc
8,4,2,Round Robin,2048,20,10,1024,5376,13,0.93,482641,394345,88296,2048,86248,81.71%,18.29%,4.89,0.00%,0,0,A-9_new_1.5.pdf.trc
8,4,2,Round Robin,2048,20,10,1024,5376,13,0.93,580244,527203,53041,2048,50993,90.86%,9.14%,4.69,0.00%,0,0,Corruption2.trc
8,4,2,Random,2048,20,10,1024,5376,13,0.93,475872,399307,76565,2048,74517,83.91%,16.09%,4.79,0.00%,0,0,A-10_new_1.5_a.pdf.trc
8,4,2,Random,2048,20,10,1024,5376,13,0.93,482641,364359,118282,2048,116234,75.49%,24.51%,5.14,0.00%,0,0,A-9_new_1.5.pdf.trc
8,4,2,Random,2048,20,10,1024,5376,13,0.93,580244,506781,73463,2048,71415,87.34%,12.66%,4.85,0.00%,0,0,Corruption2.trc
8,4,4,Round Robin,2048,21,9,512,5632,13,0.95,475872,419343,56529,2048,54481,88.12%,11.88%,4.62,0.00%,0,0,A-10_new_1.5_a.pdf.trc
8,4,4,Round Robin,2048,21,9,512,5632,13,0.95,482641,402303,80338,2048,78290,83.35%,16.65%,4.82,0.00%,0,0,A-9_new_1.5.pdf.trc
8,4,4,Round Robin,2048,21,9,512,5632,13,0.95,580244,529186,51058,2048,49010,91.20%,8.80%,4.68,0.00%,0,0,Corruption2.trc
8,4,4,Random,2048,21,9,512,5632,13,0.95,475872,388012,87860,2048,85812,81.54%,18.46%,4.89,0.00%,0,0,A-10_new_1.5_a.pdf.trc
8,4,4,Random,2048,21,9,512,5632,13,0.95,482641,351757,130884,2048,128836,72.88%,27.12%,5.25,0.00%,0,0,A-9_new_1.5.pdf.trc
8,4,4,Random,2048,21,9,512,5632,13,0.95,580244,494612,85632,2048,83584,85.24%,14.76%,4.94,0.00%,0,0,Corruption2.trc
8,4,8,Round Robin,2048,22,8,256,5888,13,0.96,475872,419290,56582,2048,54534,88.11%,11.89%,4.62,0.00%,0,0,A-10_new_1.5_a.pdf.trc
8,4,8,Round Robin,2048,22,8,256,5888,13,0.96,482641,402870,79771,2048,77723,83.47%,16.53%,4.81,0.00%,0,0,A-9_new_1.5.pdf.trc
8,4,8,Round Robin,2048,22,8,256,5888,13,0.96,580244,529360,50884,2048,48836,91.23%,8.77%,4.68,0.00%,0,0,Corruption2.trc
8,4,8,Random,2048,22,8,256,5888,13,0.96,475872,372796,103076,2048,101028,78.34%,21.66%,5.02,0.00%,0,0,A-10_new_1.5_a.pdf.trc
8,4,8,Random,2048,22,8,256,5888,13,0.96,482641,330652,151989,2048,149941,68.51%,31.49%,5.43,0.00%,0,0,A-9_new_1.5.pdf.trc
8,4,8,Random,2048,22,8,256,5888,13,0.96,580244,483375,96869,2048,94821,83.31%,16.69%,5.02,0.00%,0,0,Corruption2.trc
8,8,2,Round Robin,1024,20,9,512,2688,10,0.74,413303,376315,36988,1024,35964,91.05%,8.95%,4.33,0.00%,0,0,A-10_new_1.5_a.pdf.trc
8,8,2,Round Robin,1024,20,9,512,2688,10,0.74,420288,365519,54769,1024,53745,86.97%,13.03%,4.69,0.00%,0,0,A-9_new_1.5.pdf.trc
8,8,2,Round Robin,1024,20,9,512,2688,10,0.74,490514,456644,33870,1024,32846,93.09%,6.91%,4.22,0.00%,0,0,Corruption2.trc
8,8,2,Random,1024,20,9,512,2688,10,0.74,413303,364266,49037,1024,48013,88.14%,11.86%,4.57,0.00%,0,0,A-10_new_1.5_a.pdf.trc
8,8,2,Random,1024,20,9,512,2688,10,0.74,420288,346113,74175,1024,73151,82.35%,17.65%,5.08,0.00%,0,0,A-9_new_1.5.pdf.trc
8,8,2,Random,1024,20,9,512,2688,10,0.74,490514,442780,47734,1024,46710,90.27%,9.73%,4.46,0.00%,0,0,Corruption2.trc
8,8,4,Round Robin,1024,21,8,256,2816,10,0.75,413303,378162,35141,1024,34117,91.50%,8.50%,4.29,0.00%,0,0,A-10_new_1.5_a.pdf.trc
8,8,4,Round Robin,1024,21,8,256,2816,10,0.75,420288,371368,48920,1024,47896,88.36%,11.64%,4.57,0.00%,0,0,A-9_new_1.5.pdf.trc
8,8,4,Round Robin,1024,21,8,256,2816,10,0.75,490514,457973,32541,1024,31517,93.37%,6.63%,4.2,0.00%,0,0,Corruption2.trc
